"GIUDIZIO","GENERE","NAZIONE","ANNO","DURATA","VISIBILITÀ"
4,"DRA","AUS",75,115,"GEN"
2,"COM","AUS",92,94,"GEN"
2,"COM","AUS",83,92,"TUT"
3,"DRA","BFASO",90,78,"ADU"
2,"DRA","CAN",80,83,"GEN"
2,"HOR","CAN",80,108,"GEN"
2,"AVV","CAN",90,93,"TUT"
1,"CMC","CAN",81,94,"ADU"
4,"DRA","CIN",93,110,"GEN"
2,"GIA","FRA",88,100,"GEN"
3,"POL","FRA",75,110,"GEN"
2,"THR","FRA",66,94,"ADU"
2,"STO","FRA",61,105,"GEN"
3,"COM","FRA",92,96,"GEN"
2,"STO","FRA",90,101,"GEN"
3,"COM","FRA",89,105,"TUT"
3,"COM","FRA",92,92,"TUT"
2,"DRA","FRA",90,132,"GEN"
1,"DRA","FRA",91,110,"GEN"
2,"COM","FRA",73,105,"ADU"
3,"AVV","FRA",71,100,"GEN"
3,"GIA","FRA",65,90,"GEN"
4,"POL","FRA",54,94,"GEN"
2,"DRA","FRA",57,95,"GEN"
2,"SEN","FRA",52,90,"GEN"
3,"DRA","GB",84,90,"ADU"
2,"THR","GB",77,106,"GEN"
2,"GIA","GB",59,85,"GEN"
4,"AVV","GB",62,212,"ADU"
2,"SPI","GB",71,100,"GEN"
3,"DRA","GB",63,129,"GEN"
3,"SEN","GB",45,85,"GEN"
2,"SPI","GB",73,121,"GEN"
2,"DRA","GB",48,113,"ADU"
2,"AVV","GB",83,130,"GEN"
2,"FAN","GB",86,101,"ADU"
2,"COM","GB",62,95,"TUT"
3,"COM","GB",86,97,"TUT"
2,"COM","GB",88,99,"GEN"
3,"DRA","GB",88,112,"ADU"
2,"DRA","GB",74,95,"GEN"
1,"AZI","GB",73,120,"GEN"
2,"AVV","GB",75,100,"TUT"
4,"THR","GB",37,80,"GEN"
2,"AZI","GB",81,127,"GEN"
2,"COM","GB",66,108,"GEN"
3,"DRA","GB",87,97,"GEN"
2,"BEL","GB",77,158,"GEN"
2,"POL","GB",71,100,"GEN"
2,"AVV","GB",63,83,"GEN"
2,"COM","GB",69,90,"GEN"
2,"DRA","GB",68,121,"ADU"
2,"COM","GB",92,89,"GEN"
4,"COM","GB",46,104,"ADU"
2,"THR","GB",92,128,"GEN"
2,"DRA","GB",60,93,"ADU"
2,"DRA","GB",67,148,"GEN"
2,"DRA","GB",88,105,"GEN"
3,"AVV","GB",78,135,"GEN"
2,"COM","GB",49,92,"GEN"
3,"GIA","GB",72,115,"ADU"
3,"DRA","GB",88,112,"ADU"
1,"FAN","GER",83,96,"ADU"
2,"DRA","GER",61,110,"GEN"
2,"COM","GER",89,85,"ADU"
4,"DRA","GER",31,99,"GEN"
2,"COM","ITA",84,105,"TUT"
2,"COM","ITA",58,95,"GEN"
3,"DRA","ITA",80,100,"GEN"
2,"BEL","ITA",68,100,"ADU"
2,"COM","ITA",85,102,"GEN"
3,"DRA","ITA",60,98,"ADU"
2,"DRA","ITA",77,105,"GEN"
3,"BEL","ITA",86,130,"GEN"
2,"SPI","ITA",67,80,"GEN"
2,"BIO","ITA",71,137,"TUT"
2,"COM","ITA",57,91,"TUT"
2,"DRA","ITA",82,104,"ADU"
3,"DRA","ITA",51,100,"ADU"
2,"DRA","ITA",73,112,"ADU"
2,"AVV","ITA",69,101,"GEN"
1,"CMC","ITA",75,130,"ADU"
2,"COM","ITA",63,90,"GEN"
2,"DRA","ITA",90,120,"ADU"
3,"DRA","ITA",86,125,"ADU"
1,"CMC","ITA",88,103,"ADU"
2,"DRA","ITA",59,95,"GEN"
4,"DRA","ITA",68,98,"ADU"
2,"DRA","ITA",90,90,"ADU"
3,"DRA","ITA",94,89,"ADU"
2,"AVV","ITA",87,92,"TUT"
1,"CMC","ITA",81,85,"GEN"
3,"DRA","ITA",50,95,"GEN"
1,"CMC","ITA",71,90,"TUT"
1,"AVV","ITA",82,98,"GEN"
2,"COM","ITA",86,94,"GEN"
2,"AVV","ITA",73,128,"GEN"
1,"ERO","ITA",85,100,"ADU"
2,"DRA","ITA",86,168,"ADU"
1,"COM","ITA",84,98,"TUT"
4,"DRA","ITA",50,107,"GEN"
3,"DRA","ITA",62,105,"GEN"
2,"COM","ITA",73,102,"GEN"
2,"COM","ITA",78,115,"TUT"
2,"COM","ITA",90,125,"GEN"
2,"DRA","ITA",92,85,"GEN"
1,"DRA","ITA",59,96,"TUT"
2,"COM","ITA",94,97,"ADU"
3,"COM","ITA",74,110,"GEN"
1,"DRA","ITA",93,105,"GEN"
4,"DRA","ITA",91,88,"ADU"
2,"DRA","ITA",54,100,"ADU"
1,"COM","ITA",81,91,"ADU"
2,"DRA","ITA",52,90,"ADU"
4,"COM","ITA",91,98,"ADU"
2,"COM","ITA",52,88,"GEN"
3,"COM","ITA",63,119,"ADU"
2,"MUS","ITA",66,110,"GEN"
2,"COM","ITA",62,98,"TUT"
3,"DRA","ITA",60,105,"ADU"
2,"COM","ITA",90,100,"GEN"
2,"COM","ITA",40,90,"TUT"
2,"COM","ITA",87,89,"GEN"
2,"COM","ITA",61,95,"TUT"
3,"COM","ITA",42,86,"GEN"
1,"DRA","ITA",92,105,"ADU"
2,"COM","ITA",91,115,"GEN"
2,"POL","ITA",67,105,"GEN"
2,"COM","ITA",81,105,"GEN"
1,"COM","ITA",73,118,"TUT"
1,"COM","ITA",90,105,"ADU"
2,"COM","ITA",86,87,"GEN"
2,"COM","ITA",92,100,"TUT"
2,"COM","ITA",89,90,"ADU"
1,"COM","ITA",63,100,"GEN"
2,"COM","ITA",84,128,"ADU"
2,"COM","ITA",59,104,"GEN"
